SQL_ID,SQL_TEXT,ELAPSED_TIME,CPU_TIME,EXECUTIONS,DISK_READS,BUFFER_GETS,OPTIMIZER_COST
121ffmrc95v7g,"select i.obj#,i.ts#,i.file#,i.block#,i.intcols,i.type#,i.flags,i.property,i.pctfree$,i.initrans,i.maxtrans,i.blevel,i.leafcnt,i.distkey,i.lblkkey,i.dblkkey,i.clufac,i.cols,i.analyzetime,i.samplesize,i",180410,88334,283,43,1808,98
3un99a0zwp4vd,"select owner#,name,namespace,remoteowner,linkname,p_timestamp,p_obj#, nvl(property,0),subname,type#,flags,d_attrs from dependency$ d, obj$ o where d_obj#=:1 and p_obj#=obj#(+) order by order#",177730,133869,136,183,2800,54
5pj6mtazkhmdd,BEGIN /* KSXM:FLUSH DML_MON */    dbms_stats_internal.gather_scan_rate_by_mmon;  END;,171102,6969,1,0,44,0
dqtwcrg7mfx0d,SELECT /*+ NO_PARALLEL(d) */ DBMS_APP_CONT_PRVT.PARTITION_EXISTS(:1)   FROM DUAL d,167161,144218,1,60,1820,2
bgxtkrz2p3k08,SELECT VALUE FROM SYS.V_$PARAMETER WHERE CON_ID=:B1 AND NAME = 'compatible',167075,134779,14,0,103,1
d1sv8jh4ac7mk,"select partition_name from (select partition_name, rownum rn       from (select PARTITION_NAME             from all_tab_partitions             where table_name = 'WRP$_REPORTS'               and inter",163276,151588,1,14,217,46
ga4mbqqxya48k,"select t.ts#,t.file#,t.block#,nvl(t.bobj#,0),nvl(t.tab#,0),t.intcols,nvl(t.clucols,0),t.flags,t.pctfree$,t.pctused$,t.initrans,t.maxtrans,t.rowcnt,t.blkcnt,t.empcnt,t.avgspc,t.chncnt,t.avgrln,t.analyz",161163,137209,293,113,1204,2
7z7n648sgr6h4,select rowcnt from sys.cdbvw_stats$ where objname = :1,158458,131932,8,4,65,1
7ujay4u33g337,"SELECT BLDS.BSLN_GUID ,BLDS.METRIC_ID ,:B4 ,BLDS.TIMEGROUP ,BLDS.DBID ,BLDS.INSTANCE_NAME ,TP.THRESHOLD_METHOD ,TP.NUM_OCCURRENCES ,TP.WARNING_PARAM ,TP.CRITICAL_PARAM ,TP.FAIL_ACTION ,ST.SAMPLE_COUNT",158200,145066,1,23,855,3
8r9xda4h00gsy,DECLARE job BINARY_INTEGER := :job;  next_date TIMESTAMP WITH TIME ZONE := :mydate;  broken BOOLEAN := FALSE;  job_name VARCHAR2(128) := :job_name;  job_subname VARCHAR2(128) := :job_subname;  job_own,155551,77658,1,0,46,0
0sbbcuruzd66f,"select /*+ rule */ bucket_cnt, row_cnt, cache_cnt, null_cnt, timestamp#, sample_size, minimum, maximum, distcnt, lowval, hival, density, col#, spare1, spare2, avgcln, minimum_enc, maximum_enc from his",152676,215443,1876,114,5374,1
5wua9ymkf2056,"select /*jskqjobqlod1*/                                         /**/  /*+ no_monitor no_statement_queuing current_instance */           /**/  OBJOID, CLSOID, RUNTIME, PRI, JOBTYPE,                    ",147747,122918,1,1,63,21
gstra4sn7kzp8,"select t.schema, t.name, t.objno, t.flags, t.timezone from  system.aq$_queue_tables t, sys.aq$_queue_table_affinities aft  where aft.table_objno = t.objno and aft.owner_instance = :1  and bitand(t.fla",146392,117927,1,61,1076,4
a6frhy5cw03g6," select   /*jskqjobqlod2*/   /*+ no_monitor no_statement_queuing current_instance */   nvl(con_id, 0) CON_ID,    obj# OBJOID,   class_oid CLSOID,         run_time RUNTIME,   2 * priority +    decode(b",143235,139167,2,0,142,3
gngtvs38t0060,SELECT /*+ CONNECT_BY_FILTERING */ s.privilege# FROM sys.sysauth$ s        CONNECT BY s.grantee# = PRIOR s.privilege#                                 AND (s.privilege# > 0 OR s.privilege# = -352)     ,142273,144375,18,3,105,8
c2p32r5mzv8hb,BEGIN    prvt_advisor.delete_expired_tasks;  END;,140872,112424,1,121,2761,0
2xy16h1p7j575,"select partition_name from (select partition_name, rownum rn       from (select PARTITION_NAME             from all_tab_partitions             where table_name = 'WRP$_REPORTS_DETAILS'               a",139526,115826,1,0,164,46
5ra3f0zhkpdqa,"SELECT USERNAME, ACCOUNT_STATUS, LOCK_DATE, EXPIRY_DATE, PROFILE, LAST_LOGIN FROM DBA_USERS",138616,115475,3,9,625,31
bg0ucs4vg0zab,SELECT value FROM v$parameter where lower(name) = '_qa_lrg_type',132155,129645,1,0,90,1
abz5d7mk4hw25,SELECT COUNT(*) FROM                                                            (SELECT /* interim patches */                                                          'Interim patch ' || patch_id || ',131962,91902,1,105,1859,49
8ncaj7hgazfyp,begin /* QOSD */ dbms_spd.drop_sql_plan_directive(null); end;,131816,110752,1,42,1505,0
16mdx8fs5jzkm,"SELECT GRANTEE, PRIVILEGE, ADMIN_OPTION FROM DBA_SYS_PRIVS",130939,112867,3,10,186,27
gstra4sn7kzp8,"select t.schema, t.name, t.objno, t.flags, t.timezone from  system.aq$_queue_tables t, sys.aq$_queue_table_affinities aft  where aft.table_objno = t.objno and aft.owner_instance = :1  and bitand(t.fla",126152,94294,1,49,2324,4
92f47aa2q2rmd,"SELECT INSTANCE_NAME, HOST_NAME, NVL(GVI_STARTUP_TIME, SYSTIMESTAMP) - INTERVAL '1' SECOND AS SHUTDOWN_TIME FROM (SELECT RRI.INSTANCE_NAME AS INSTANCE_NAME, RRI.HOST_NAME AS HOST_NAME, FROM_TZ(RRI.STA",123293,119744,1,0,27,97
39quyum9057mk,DECLARE job BINARY_INTEGER := :job;  next_date TIMESTAMP WITH TIME ZONE := :mydate;  broken BOOLEAN := FALSE;  job_name VARCHAR2(128) := :job_name;  job_subname VARCHAR2(128) := :job_subname;  job_own,120758,71153,1,11,167,0
b13g21mgg8y98,"insert /* KSXM:TAKE_SNPSHOT */ into sys.optstat_snapshot$ (obj#, inserts, updates, deletes, timestamp, flags) (select m.obj#, m.inserts, m.updates, m.deletes, systimestamp,  dbms_stats_advisor.compute",120299,89262,1,61,2809,5
cvnf9c2bfhj9g,SELECT high_value          FROM all_tab_partitions         WHERE table_name  = 'LTXID_TRANS'           AND table_owner = 'SYS',119753,112322,1,25,929,18
72u5s5cjckv13,"INSERT INTO AUDSYS.AUD$UNIFIED (AUDIT_TYPE, SESSIONID, PROXY_SESSIONID, OS_USER, HOST_NAME, TERMINAL, INSTANCE_ID, DBID, AUTHENTICATION_TYPE, USERID, PROXY_USERID, EXTERNAL_USERID, GLOBAL_USERID, CLIE",118576,108168,3,14,1579,1
832kkz790r75k,"SELECT c.capture#, c.capture_name, c.flags FROM sys.streams$_capture_process c, dba_queues q, dba_queue_tables qt  ,v$instance i WHERE c.queue_owner  = q.owner   and c.queue_name   = q.name   and qt.q",116340,88899,1,29,544,46
bgxtkrz2p3k08,SELECT VALUE FROM SYS.V_$PARAMETER WHERE CON_ID=:B1 AND NAME = 'compatible',114137,116935,7,0,41,1
0sbbcuruzd66f,"select /*+ rule */ bucket_cnt, row_cnt, cache_cnt, null_cnt, timestamp#, sample_size, minimum, maximum, distcnt, lowval, hival, density, col#, spare1, spare2, avgcln, minimum_enc, maximum_enc from his",112987,194453,1130,99,3212,1
19bmabs12ydx8,"select ee.ectx#, o.owner#, u.name, o.name, ee.num_rules, ee.num_boxes,  ee.ee_flags, ee.complex_operators  from rule_set_ee$ ee, obj$ o, user$ u where ee.rs_obj# = :1 and  ee.ectx# = o.obj# and o.owne",112128,100856,1,25,1065,5
76cckj4yysvua,"select time_mp, scn, num_mappings, tim_scn_map from smon_scn_time   where scn =    (select max(scn) from smon_scn_time where scn <= :1)",110837,83987,1,1,12,1
8m2740gp00tbk,select count(*) from user_tables where table_name= :1,110449,107201,1,7,1470,9
fbjs6vqydm3xa,"select s.ts#, s.file#, s.block#, so.object_id, s.spare1, s.type#, s.hwmincr from seg$ s, sys_objects so where bitand(s.spare1,131072) = 0 and s.ts# = so.ts_number and s.file# = so.header_file and s.bl",108062,99209,1,0,4688,1447
c1aqra3539hyz,"select cols,audit$,textlength,intcols,nvl(property,0),flags,rowid from view$ where obj#=:1",105861,76876,78,52,234,2
g0t052az3rx44,"select name,intcol#,segcol#,type#,length,nvl(precision#,0),decode(type#,2,nvl(scale,-127/*MAXSB1MINAL*/),178,scale,179,scale,180,scale,181,scale,182,scale,183,scale,231,scale,0),null$,fixedstorage,nvl",104383,57501,341,27,1254,49
50hybrc8ffb8v,select 1 from dba_tables where owner = 'SYS' and table_name = 'BC$',103280,65737,5,5,229,10
dvytf74k7wjzw,SELECT * FROM DBA_USERS,102758,71858,1,4,183,31
f3ww8rgva3hrs,"update /* KSXM:FLUSH COL */ sys.col_usage$ set                  equality_preds    = equality_preds    + decode(bitand(:flag,1),0,0,1),   equijoin_preds    = equijoin_preds    + decode(bitand(:flag,2),",101661,88033,489,17,1739,1
8vr9hwjn1zzgp,"select name, address, protocol, rule_name, ruleset_name,             negative_ruleset_name, trans_name, subscriber_id,                    subscriber_type , scn_at_add from  ""SYS"".""AQ$_ALERT_QT_S""     ",100824,99818,2,0,12,3
5yv7yvjgjxugg,select TIME_WAITED_MICRO from V$SYSTEM_EVENT  where event = 'Shared IO Pool Memory',98951,23331,20,0,146,1
3aapagbjphwy0,select count(*) from sys.aq_event_table as of scn (:1) where state = 0,96269,92036,2,20,4153,2
av52cx1jr8bks,DECLARE job BINARY_INTEGER := :job;  next_date TIMESTAMP WITH TIME ZONE := :mydate;  broken BOOLEAN := FALSE;  job_name VARCHAR2(128) := :job_name;  job_subname VARCHAR2(128) := :job_subname;  job_own,94569,38053,1,2,82,0
121ffmrc95v7g,"select i.obj#,i.ts#,i.file#,i.block#,i.intcols,i.type#,i.flags,i.property,i.pctfree$,i.initrans,i.maxtrans,i.blevel,i.leafcnt,i.distkey,i.lblkkey,i.dblkkey,i.clufac,i.cols,i.analyzetime,i.samplesize,i",93079,90035,1,0,7,6
